Name,Age,Nationality,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions,Preferred Positions Type
L. Geminiani,26,Argentina,66.0,74.0,72.0,70.0,66.0,61.0,53.0,70.0,39.0,69.0,30.0,22.0,14.0,8.0,12.0,14.0,13.0,54.0,68.0,59.0,55.0,30.0,58.0,27.0,57.0,59.0,59.0,38.0,67.0,77.0,69.0,64.0,59.0,39.0,28.0,LB RB ,Back
Pedro Pinto,22,Portugal,66.0,63.0,70.0,45.0,53.0,63.0,58.0,53.0,40.0,50.0,30.0,32.0,11.0,6.0,14.0,12.0,14.0,67.0,65.0,74.0,39.0,26.0,64.0,39.0,31.0,64.0,46.0,42.0,62.0,51.0,61.0,66.0,74.0,33.0,33.0,RB CB ,Back
A. Nordvik,30,Norway,66.0,74.0,66.0,73.0,66.0,55.0,66.0,59.0,51.0,52.0,34.0,35.0,15.0,6.0,13.0,8.0,6.0,68.0,65.0,76.0,59.0,42.0,61.0,53.0,44.0,62.0,61.0,68.0,60.0,76.0,67.0,65.0,75.0,47.0,54.0,LB CB ,Back
F. Coppola,39,Italy,66.0,34.0,23.0,50.0,42.0,22.0,40.0,10.0,14.0,10.0,11.0,10.0,69.0,62.0,58.0,73.0,64.0,15.0,20.0,59.0,26.0,16.0,10.0,21.0,10.0,55.0,26.0,23.0,16.0,35.0,26.0,14.0,60.0,25.0,13.0,GK ,GoalKeeper
V. Agardius,27,Sweden,66.0,73.0,52.0,71.0,73.0,62.0,68.0,64.0,40.0,57.0,26.0,38.0,13.0,9.0,15.0,6.0,8.0,53.0,64.0,61.0,58.0,34.0,67.0,38.0,49.0,68.0,54.0,56.0,62.0,75.0,70.0,68.0,69.0,49.0,29.0,LB ,Back
A. Tamèze,23,France,66.0,58.0,67.0,57.0,69.0,58.0,63.0,46.0,52.0,59.0,41.0,43.0,13.0,16.0,14.0,15.0,14.0,55.0,66.0,60.0,62.0,42.0,63.0,54.0,41.0,61.0,70.0,63.0,64.0,66.0,70.0,69.0,71.0,61.0,35.0,CDM ,Midfielder
G. Venegas,33,Mexico,66.0,40.0,77.0,46.0,45.0,60.0,52.0,57.0,45.0,51.0,45.0,32.0,14.0,10.0,9.0,9.0,15.0,62.0,67.0,35.0,59.0,34.0,61.0,42.0,61.0,69.0,59.0,56.0,61.0,47.0,67.0,62.0,90.0,40.0,41.0,RB CB ,Back
B. Riise,34,Norway,66.0,62.0,82.0,68.0,78.0,65.0,70.0,61.0,56.0,66.0,59.0,63.0,6.0,10.0,14.0,12.0,6.0,57.0,64.0,65.0,64.0,66.0,66.0,63.0,63.0,67.0,66.0,77.0,61.0,54.0,73.0,62.0,70.0,65.0,67.0,RB RM CM ,Midfielder
K. Vermeulen,26,Netherlands,66.0,59.0,56.0,64.0,59.0,66.0,58.0,39.0,74.0,63.0,59.0,59.0,7.0,12.0,11.0,12.0,16.0,65.0,46.0,63.0,64.0,70.0,60.0,54.0,67.0,63.0,66.0,69.0,59.0,67.0,77.0,60.0,75.0,64.0,55.0,CAM ,Midfielder
R. Cisneros,20,Mexico,66.0,71.0,53.0,68.0,62.0,64.0,65.0,41.0,52.0,62.0,68.0,43.0,16.0,15.0,16.0,8.0,10.0,65.0,32.0,68.0,50.0,54.0,22.0,64.0,69.0,60.0,61.0,62.0,17.0,69.0,68.0,11.0,67.0,50.0,55.0,ST ,Forward
Benito,21,Spain,66.0,71.0,42.0,61.0,75.0,64.0,55.0,59.0,52.0,68.0,60.0,47.0,7.0,11.0,11.0,12.0,13.0,46.0,24.0,40.0,60.0,55.0,20.0,51.0,60.0,69.0,66.0,63.0,30.0,74.0,64.0,34.0,43.0,59.0,41.0,CAM LM ,Midfielder
Ko Moo Yeol,26,Korea Republic,66.0,75.0,57.0,81.0,56.0,69.0,55.0,58.0,52.0,64.0,62.0,55.0,12.0,12.0,11.0,10.0,10.0,65.0,43.0,71.0,51.0,60.0,13.0,61.0,67.0,67.0,57.0,63.0,16.0,75.0,68.0,13.0,66.0,63.0,63.0,LW LM ,Midfielder
D. Remick,26,United States,66.0,77.0,62.0,69.0,65.0,59.0,55.0,58.0,58.0,57.0,41.0,55.0,15.0,9.0,13.0,12.0,7.0,52.0,58.0,81.0,54.0,40.0,64.0,54.0,53.0,57.0,61.0,51.0,64.0,85.0,81.0,64.0,61.0,50.0,40.0,LB ,Back
Jallyson Neto,25,Brazil,66.0,65.0,55.0,70.0,58.0,55.0,71.0,60.0,62.0,45.0,45.0,47.0,8.0,8.0,13.0,8.0,16.0,75.0,64.0,86.0,58.0,49.0,70.0,43.0,59.0,74.0,60.0,57.0,63.0,61.0,87.0,54.0,73.0,73.0,55.0,LB ,Back
T. Socha,29,Poland,66.0,62.0,75.0,63.0,70.0,63.0,61.0,53.0,38.0,56.0,44.0,51.0,13.0,14.0,12.0,10.0,14.0,47.0,74.0,80.0,55.0,48.0,64.0,42.0,55.0,48.0,57.0,46.0,75.0,85.0,61.0,74.0,76.0,39.0,41.0,RB ,Back
G. Beretta,25,Italy,66.0,66.0,51.0,61.0,56.0,65.0,64.0,52.0,39.0,59.0,65.0,57.0,7.0,14.0,10.0,13.0,15.0,63.0,17.0,70.0,47.0,66.0,14.0,48.0,65.0,67.0,58.0,65.0,20.0,70.0,67.0,18.0,78.0,44.0,63.0,RW ST ,Forward
Rochinha,22,Portugal,66.0,76.0,41.0,79.0,82.0,66.0,59.0,62.0,54.0,67.0,63.0,50.0,9.0,11.0,15.0,14.0,15.0,35.0,25.0,41.0,59.0,63.0,26.0,57.0,56.0,68.0,68.0,64.0,24.0,73.0,66.0,27.0,42.0,62.0,62.0,LM CAM ,Midfielder
M. Rosheuvel,26,Netherlands,66.0,78.0,44.0,74.0,70.0,68.0,64.0,62.0,68.0,72.0,57.0,59.0,12.0,16.0,15.0,9.0,11.0,44.0,43.0,66.0,46.0,66.0,20.0,60.0,57.0,59.0,60.0,63.0,23.0,88.0,67.0,22.0,71.0,62.0,52.0,RM ,Midfielder
S. Saad,24,Lebanon,66.0,71.0,39.0,71.0,64.0,65.0,61.0,62.0,68.0,68.0,65.0,57.0,16.0,8.0,14.0,14.0,8.0,54.0,35.0,65.0,52.0,68.0,21.0,63.0,63.0,66.0,61.0,78.0,14.0,73.0,62.0,20.0,56.0,63.0,62.0,LW ST ,Forward
T. Danneberg,31,Germany,66.0,66.0,66.0,65.0,65.0,64.0,64.0,44.0,57.0,58.0,48.0,59.0,14.0,10.0,13.0,14.0,8.0,66.0,63.0,74.0,61.0,47.0,58.0,58.0,54.0,64.0,67.0,69.0,62.0,62.0,72.0,64.0,75.0,69.0,46.0,CM CAM CDM ,Midfielder
H. Mojica,24,Colombia,65.0,88.0,38.0,91.0,86.0,60.0,64.0,61.0,69.0,65.0,56.0,65.0,13.0,15.0,13.0,14.0,11.0,42.0,30.0,91.0,63.0,60.0,19.0,62.0,54.0,54.0,70.0,65.0,21.0,85.0,74.0,30.0,56.0,63.0,56.0,CAM ,Midfielder
P. Robinson,35,England,65.0,41.0,70.0,55.0,62.0,55.0,58.0,32.0,24.0,35.0,34.0,24.0,7.0,7.0,15.0,9.0,12.0,64.0,65.0,73.0,64.0,33.0,65.0,32.0,40.0,60.0,51.0,59.0,60.0,43.0,69.0,64.0,70.0,47.0,17.0,CB ,Back
C. Martins Pereira,20,Luxembourg,65.0,59.0,64.0,56.0,68.0,63.0,57.0,52.0,47.0,58.0,46.0,39.0,7.0,6.0,6.0,13.0,13.0,65.0,63.0,58.0,63.0,45.0,61.0,45.0,57.0,59.0,71.0,65.0,62.0,67.0,68.0,63.0,68.0,48.0,47.0,CB CDM ,Midfielder
O. Bogle,23,England,65.0,72.0,47.0,63.0,55.0,61.0,57.0,39.0,54.0,64.0,66.0,48.0,8.0,14.0,10.0,14.0,8.0,63.0,32.0,63.0,38.0,63.0,23.0,60.0,65.0,56.0,58.0,63.0,23.0,70.0,64.0,27.0,73.0,53.0,58.0,ST ,Forward
G. Hendrickx,22,Belgium,65.0,69.0,66.0,76.0,78.0,63.0,59.0,58.0,44.0,61.0,52.0,45.0,11.0,12.0,12.0,8.0,14.0,56.0,63.0,69.0,62.0,58.0,46.0,43.0,63.0,63.0,64.0,57.0,57.0,66.0,86.0,62.0,51.0,65.0,47.0,LM RM CDM CM ,Midfielder
Ko Tae Won,24,Korea Republic,65.0,65.0,63.0,60.0,64.0,41.0,59.0,26.0,25.0,34.0,33.0,22.0,10.0,13.0,7.0,7.0,12.0,65.0,65.0,63.0,52.0,20.0,66.0,30.0,31.0,59.0,57.0,31.0,64.0,57.0,68.0,68.0,72.0,26.0,23.0,CB ,Back
Carbonell,19,Spain,65.0,67.0,42.0,71.0,80.0,70.0,54.0,64.0,59.0,72.0,69.0,47.0,5.0,5.0,12.0,12.0,14.0,54.0,48.0,56.0,63.0,65.0,48.0,52.0,59.0,63.0,66.0,58.0,52.0,64.0,64.0,56.0,57.0,62.0,55.0,CAM CM ,Midfielder
S. Konde,24,Guinea,65.0,63.0,48.0,43.0,43.0,50.0,54.0,55.0,35.0,41.0,30.0,28.0,13.0,15.0,14.0,7.0,6.0,65.0,58.0,79.0,62.0,22.0,59.0,42.0,29.0,55.0,61.0,46.0,68.0,63.0,62.0,71.0,85.0,30.0,30.0,CB ,Back
A. Fernández,31,Uruguay,65.0,69.0,59.0,65.0,59.0,69.0,65.0,62.0,70.0,69.0,57.0,65.0,8.0,8.0,6.0,11.0,13.0,68.0,55.0,62.0,65.0,60.0,42.0,59.0,62.0,63.0,68.0,68.0,46.0,69.0,23.0,53.0,53.0,63.0,62.0,CDM LM RM CM ,Midfielder
C. Hussey,28,England,65.0,68.0,64.0,71.0,71.0,62.0,66.0,72.0,72.0,63.0,24.0,71.0,8.0,12.0,10.0,7.0,11.0,46.0,55.0,84.0,62.0,47.0,60.0,54.0,49.0,64.0,61.0,57.0,62.0,72.0,81.0,62.0,57.0,51.0,47.0,LB ,Back
J. Chunga,25,Colombia,65.0,43.0,16.0,59.0,58.0,22.0,23.0,17.0,17.0,15.0,12.0,15.0,70.0,62.0,66.0,58.0,69.0,12.0,20.0,52.0,24.0,12.0,16.0,23.0,17.0,58.0,24.0,22.0,18.0,42.0,33.0,20.0,38.0,31.0,12.0,GK ,GoalKeeper
M. Perez,26,France,65.0,76.0,52.0,75.0,74.0,66.0,56.0,46.0,64.0,64.0,48.0,69.0,7.0,7.0,8.0,7.0,13.0,56.0,59.0,60.0,62.0,52.0,38.0,52.0,60.0,63.0,68.0,59.0,42.0,76.0,76.0,62.0,67.0,68.0,47.0,CDM CM ,Midfielder
Y. Meité,21,Ivory Coast,65.0,85.0,42.0,76.0,60.0,66.0,61.0,57.0,51.0,72.0,58.0,47.0,6.0,7.0,13.0,11.0,10.0,50.0,20.0,56.0,39.0,58.0,30.0,61.0,65.0,47.0,56.0,68.0,36.0,88.0,50.0,31.0,77.0,48.0,51.0,RW ,Forward
C. Früchtl,17,Germany,65.0,25.0,26.0,26.0,23.0,17.0,22.0,10.0,15.0,13.0,11.0,14.0,68.0,65.0,66.0,64.0,68.0,11.0,11.0,40.0,25.0,8.0,11.0,13.0,6.0,49.0,29.0,29.0,13.0,23.0,19.0,10.0,63.0,23.0,9.0,GK ,GoalKeeper
Francis,21,Spain,65.0,79.0,29.0,80.0,77.0,64.0,42.0,63.0,63.0,67.0,57.0,52.0,11.0,14.0,9.0,12.0,6.0,33.0,23.0,48.0,56.0,42.0,23.0,53.0,62.0,56.0,59.0,53.0,29.0,84.0,56.0,21.0,44.0,57.0,52.0,RM ,Midfielder
D. Giorico,25,Italy,65.0,66.0,51.0,70.0,71.0,64.0,68.0,59.0,62.0,65.0,34.0,60.0,7.0,8.0,15.0,7.0,11.0,54.0,63.0,70.0,64.0,59.0,44.0,59.0,57.0,61.0,68.0,54.0,59.0,67.0,70.0,57.0,65.0,66.0,55.0,CM ,Midfielder
W. Creavalle,26,Guyana,65.0,77.0,72.0,73.0,72.0,66.0,61.0,47.0,50.0,61.0,56.0,33.0,14.0,16.0,6.0,10.0,9.0,62.0,65.0,67.0,55.0,43.0,62.0,44.0,54.0,64.0,69.0,45.0,60.0,74.0,70.0,61.0,74.0,55.0,30.0,CDM ,Midfielder
D. Giraldo,25,Colombia,65.0,67.0,58.0,63.0,65.0,68.0,50.0,49.0,47.0,58.0,43.0,55.0,10.0,13.0,12.0,15.0,14.0,57.0,60.0,70.0,68.0,55.0,60.0,53.0,44.0,56.0,69.0,49.0,54.0,65.0,72.0,67.0,70.0,56.0,32.0,CDM ,Midfielder
A. Considine,30,Scotland,65.0,51.0,70.0,48.0,64.0,57.0,64.0,57.0,34.0,58.0,15.0,52.0,8.0,15.0,12.0,11.0,10.0,71.0,68.0,78.0,57.0,13.0,67.0,38.0,25.0,58.0,66.0,44.0,65.0,59.0,77.0,67.0,78.0,39.0,30.0,CB LB ,Back
T. Kanamori,23,Japan,65.0,90.0,59.0,88.0,79.0,67.0,60.0,53.0,51.0,72.0,60.0,40.0,10.0,13.0,13.0,7.0,10.0,59.0,19.0,68.0,43.0,49.0,21.0,63.0,63.0,57.0,62.0,60.0,33.0,90.0,73.0,22.0,61.0,48.0,57.0,LW LM ST ,Forward
E. Chirambadare,25,Zimbabwe,65.0,75.0,31.0,60.0,71.0,71.0,58.0,64.0,61.0,72.0,55.0,42.0,10.0,9.0,12.0,10.0,14.0,38.0,21.0,41.0,50.0,48.0,29.0,56.0,55.0,45.0,59.0,55.0,25.0,77.0,61.0,33.0,58.0,65.0,42.0,RW RM LW LM ,Midfielder
Bebeto,27,Brazil,65.0,75.0,64.0,81.0,76.0,63.0,66.0,64.0,58.0,64.0,45.0,43.0,5.0,11.0,10.0,14.0,12.0,55.0,58.0,72.0,54.0,33.0,58.0,44.0,54.0,68.0,58.0,54.0,62.0,74.0,74.0,60.0,52.0,44.0,48.0,RB ,Back
C. Menz,28,Germany,65.0,66.0,70.0,68.0,66.0,64.0,65.0,62.0,55.0,61.0,26.0,46.0,8.0,16.0,11.0,10.0,15.0,60.0,59.0,70.0,58.0,42.0,60.0,43.0,38.0,62.0,68.0,49.0,63.0,69.0,74.0,66.0,70.0,53.0,36.0,RB CDM CB ,Back
O. Gaona Lugo,26,Paraguay,65.0,90.0,45.0,76.0,75.0,66.0,32.0,64.0,52.0,67.0,62.0,50.0,9.0,7.0,7.0,16.0,7.0,56.0,34.0,54.0,61.0,60.0,30.0,67.0,52.0,60.0,57.0,63.0,24.0,87.0,64.0,27.0,63.0,52.0,55.0,ST LM RW ,Forward
H. Zeinstra,27,Netherlands,65.0,32.0,25.0,35.0,35.0,20.0,32.0,12.0,16.0,19.0,21.0,13.0,64.0,65.0,60.0,65.0,66.0,15.0,23.0,56.0,23.0,19.0,18.0,30.0,19.0,61.0,34.0,22.0,16.0,29.0,34.0,18.0,68.0,24.0,14.0,GK ,GoalKeeper
I. Toney,21,England,65.0,77.0,75.0,87.0,59.0,59.0,48.0,42.0,41.0,61.0,67.0,38.0,16.0,8.0,8.0,7.0,8.0,66.0,52.0,87.0,39.0,43.0,18.0,58.0,64.0,58.0,56.0,63.0,41.0,78.0,74.0,46.0,72.0,41.0,59.0,ST ,Forward
No Dong Geon,25,Korea Republic,65.0,43.0,26.0,48.0,45.0,16.0,56.0,17.0,15.0,12.0,16.0,18.0,68.0,61.0,65.0,61.0,69.0,15.0,16.0,61.0,43.0,14.0,14.0,25.0,11.0,59.0,28.0,22.0,13.0,41.0,24.0,16.0,72.0,23.0,18.0,GK ,GoalKeeper
N. Topor-Stanley,32,Australia,65.0,33.0,67.0,30.0,34.0,49.0,61.0,54.0,26.0,45.0,31.0,20.0,15.0,16.0,8.0,12.0,10.0,66.0,62.0,79.0,61.0,45.0,62.0,41.0,26.0,60.0,60.0,59.0,60.0,34.0,81.0,62.0,89.0,51.0,29.0,CB ,Back
P. Rojas,25,Colombia,65.0,90.0,40.0,83.0,85.0,58.0,54.0,62.0,39.0,63.0,66.0,29.0,10.0,7.0,12.0,5.0,11.0,43.0,22.0,75.0,48.0,55.0,24.0,56.0,64.0,59.0,55.0,65.0,26.0,92.0,78.0,24.0,57.0,54.0,45.0,ST RM ,Midfielder
G. Saunders,28,England,65.0,62.0,68.0,65.0,71.0,65.0,71.0,45.0,53.0,52.0,33.0,51.0,9.0,13.0,9.0,9.0,6.0,44.0,67.0,71.0,66.0,48.0,59.0,49.0,52.0,68.0,68.0,43.0,54.0,61.0,69.0,56.0,61.0,65.0,36.0,CM CDM ,Midfielder
Palatsí,29,Spain,65.0,63.0,40.0,65.0,70.0,14.0,29.0,17.0,10.0,15.0,19.0,10.0,75.0,60.0,59.0,56.0,71.0,10.0,16.0,82.0,24.0,18.0,17.0,27.0,13.0,55.0,16.0,44.0,17.0,64.0,30.0,19.0,54.0,23.0,18.0,GK ,GoalKeeper
H. Toffolo,21,England,65.0,76.0,58.0,68.0,70.0,63.0,58.0,66.0,62.0,66.0,36.0,58.0,12.0,15.0,15.0,13.0,13.0,59.0,60.0,75.0,57.0,51.0,61.0,33.0,61.0,61.0,62.0,58.0,61.0,75.0,73.0,62.0,65.0,55.0,33.0,LWB LB ,Back
A. Tapia,30,Colombia,65.0,70.0,61.0,69.0,68.0,64.0,69.0,61.0,68.0,65.0,56.0,45.0,13.0,6.0,9.0,8.0,12.0,63.0,56.0,61.0,62.0,62.0,64.0,47.0,66.0,62.0,65.0,69.0,59.0,71.0,66.0,61.0,62.0,65.0,46.0,CAM ,Midfielder
C. Colkett,20,England,65.0,53.0,61.0,57.0,75.0,68.0,67.0,68.0,67.0,65.0,47.0,66.0,8.0,7.0,8.0,14.0,10.0,58.0,42.0,51.0,68.0,53.0,57.0,58.0,56.0,57.0,71.0,61.0,70.0,45.0,55.0,64.0,56.0,70.0,37.0,CDM CM ,Midfielder
Y. Hiraoka,31,Japan,65.0,53.0,56.0,37.0,60.0,54.0,52.0,21.0,27.0,28.0,17.0,21.0,12.0,8.0,13.0,14.0,12.0,45.0,69.0,72.0,22.0,23.0,62.0,31.0,27.0,73.0,63.0,39.0,72.0,53.0,66.0,70.0,65.0,33.0,23.0,CB ,Back
M. Zajc,23,Slovenia,65.0,66.0,52.0,70.0,72.0,62.0,70.0,51.0,52.0,61.0,52.0,49.0,14.0,6.0,13.0,11.0,5.0,55.0,39.0,56.0,66.0,50.0,40.0,48.0,73.0,66.0,70.0,51.0,52.0,68.0,33.0,48.0,47.0,66.0,43.0,CM CAM ,Midfielder
K. Enghardt,25,Denmark,65.0,63.0,59.0,54.0,64.0,59.0,58.0,49.0,36.0,54.0,30.0,30.0,9.0,7.0,8.0,14.0,13.0,65.0,61.0,75.0,60.0,41.0,62.0,60.0,39.0,56.0,62.0,53.0,63.0,70.0,70.0,66.0,70.0,47.0,27.0,CM CB ,Back
T. Pope,31,England,65.0,51.0,73.0,58.0,56.0,67.0,65.0,40.0,45.0,44.0,69.0,35.0,12.0,14.0,13.0,16.0,13.0,73.0,47.0,92.0,50.0,56.0,30.0,57.0,66.0,60.0,61.0,61.0,15.0,65.0,80.0,19.0,86.0,60.0,59.0,ST ,Forward
O. Custodio,22,Switzerland,65.0,68.0,59.0,59.0,70.0,70.0,70.0,47.0,49.0,65.0,40.0,48.0,10.0,13.0,7.0,12.0,8.0,50.0,68.0,59.0,65.0,45.0,53.0,64.0,43.0,59.0,67.0,62.0,60.0,65.0,76.0,61.0,58.0,67.0,57.0,CB CDM CM ,Midfielder
P. Strand,22,Norway,65.0,87.0,62.0,85.0,70.0,63.0,62.0,64.0,67.0,67.0,56.0,66.0,14.0,10.0,9.0,7.0,10.0,48.0,64.0,69.0,61.0,64.0,56.0,56.0,58.0,62.0,64.0,71.0,58.0,85.0,91.0,62.0,61.0,63.0,59.0,LM RM CM ,Midfielder
B. Cascini,20,Argentina,65.0,70.0,51.0,75.0,74.0,65.0,56.0,54.0,61.0,66.0,45.0,41.0,6.0,5.0,15.0,14.0,10.0,56.0,59.0,72.0,66.0,64.0,66.0,51.0,54.0,67.0,65.0,66.0,61.0,73.0,82.0,62.0,57.0,62.0,40.0,CDM CM ,Midfielder
J. Naismith,23,Scotland,65.0,76.0,72.0,62.0,58.0,61.0,53.0,57.0,56.0,62.0,45.0,29.0,8.0,6.0,7.0,11.0,7.0,62.0,59.0,74.0,54.0,40.0,59.0,44.0,50.0,56.0,60.0,65.0,63.0,78.0,81.0,66.0,79.0,52.0,13.0,RB ,Back
M. Pazurek,28,Germany,65.0,61.0,83.0,57.0,58.0,56.0,59.0,56.0,61.0,41.0,38.0,74.0,11.0,8.0,9.0,12.0,8.0,61.0,63.0,90.0,59.0,64.0,61.0,66.0,45.0,61.0,60.0,74.0,63.0,64.0,81.0,63.0,79.0,54.0,42.0,CM LB CDM ,Midfielder
K. Dempsey,21,England,65.0,74.0,63.0,69.0,74.0,71.0,67.0,59.0,61.0,72.0,61.0,66.0,10.0,9.0,16.0,8.0,11.0,51.0,45.0,67.0,68.0,61.0,33.0,48.0,65.0,55.0,65.0,57.0,36.0,71.0,76.0,39.0,62.0,64.0,47.0,LM CM ,Midfielder
L. Nilsson,35,Sweden,65.0,74.0,48.0,71.0,75.0,63.0,74.0,54.0,69.0,59.0,64.0,54.0,13.0,6.0,8.0,15.0,16.0,44.0,28.0,60.0,49.0,61.0,32.0,74.0,70.0,73.0,61.0,65.0,33.0,78.0,56.0,26.0,63.0,70.0,59.0,ST ,Forward
C. Sloth,25,Denmark,65.0,68.0,55.0,77.0,62.0,68.0,60.0,41.0,56.0,66.0,60.0,31.0,9.0,12.0,12.0,9.0,15.0,38.0,55.0,58.0,66.0,62.0,51.0,58.0,64.0,58.0,65.0,68.0,54.0,62.0,62.0,56.0,57.0,68.0,48.0,CAM LM CM ,Midfielder
Diney,22,Cape Verde,65.0,43.0,74.0,40.0,53.0,45.0,59.0,27.0,31.0,39.0,29.0,28.0,16.0,13.0,9.0,7.0,12.0,64.0,60.0,78.0,37.0,27.0,61.0,46.0,28.0,56.0,47.0,47.0,67.0,43.0,64.0,64.0,79.0,29.0,28.0,CB ,Back
Suh Myeong Won,22,Korea Republic,65.0,74.0,50.0,80.0,75.0,65.0,62.0,60.0,43.0,66.0,65.0,53.0,9.0,8.0,15.0,9.0,15.0,45.0,21.0,45.0,50.0,48.0,13.0,57.0,62.0,57.0,66.0,70.0,13.0,74.0,67.0,18.0,58.0,64.0,50.0,LW RM ,Midfielder
Kainho Selva,29,Brazil,65.0,64.0,68.0,60.0,54.0,64.0,62.0,58.0,38.0,60.0,24.0,35.0,9.0,7.0,9.0,16.0,9.0,63.0,65.0,72.0,40.0,25.0,70.0,34.0,38.0,62.0,59.0,48.0,62.0,68.0,66.0,71.0,79.0,36.0,24.0,RB ,Back
W. Moke,29,Congo,65.0,72.0,65.0,54.0,64.0,45.0,49.0,46.0,50.0,49.0,27.0,36.0,12.0,16.0,11.0,10.0,9.0,49.0,66.0,72.0,55.0,21.0,62.0,39.0,37.0,63.0,64.0,59.0,63.0,74.0,84.0,74.0,76.0,54.0,22.0,CB CDM ,Midfielder
R. Foster,31,Scotland,65.0,81.0,61.0,81.0,77.0,53.0,56.0,56.0,53.0,57.0,17.0,48.0,8.0,15.0,11.0,12.0,6.0,64.0,56.0,80.0,53.0,21.0,57.0,29.0,19.0,64.0,62.0,49.0,60.0,84.0,78.0,63.0,70.0,55.0,18.0,LB RB ,Back
M. Asenjo,22,Argentina,65.0,54.0,52.0,64.0,64.0,67.0,51.0,25.0,35.0,63.0,67.0,58.0,6.0,13.0,7.0,7.0,12.0,66.0,19.0,67.0,24.0,63.0,19.0,64.0,63.0,55.0,44.0,71.0,18.0,58.0,67.0,24.0,76.0,52.0,68.0,ST ,Forward
E. Bugge Pettersen,37,Norway,65.0,34.0,34.0,40.0,43.0,19.0,49.0,19.0,12.0,18.0,13.0,19.0,62.0,64.0,60.0,64.0,63.0,18.0,17.0,62.0,32.0,14.0,14.0,15.0,13.0,70.0,33.0,30.0,19.0,25.0,30.0,15.0,75.0,58.0,18.0,GK ,GoalKeeper
A. Oueslati,25,Tunisia,65.0,68.0,62.0,71.0,59.0,73.0,56.0,67.0,59.0,66.0,53.0,43.0,8.0,11.0,9.0,11.0,6.0,50.0,67.0,62.0,61.0,53.0,63.0,47.0,61.0,73.0,65.0,51.0,63.0,68.0,68.0,59.0,70.0,59.0,48.0,RB CAM ,Midfielder
C. Amaya,26,Colombia,65.0,74.0,35.0,78.0,77.0,65.0,63.0,48.0,54.0,59.0,68.0,57.0,10.0,15.0,7.0,9.0,9.0,59.0,18.0,73.0,27.0,62.0,18.0,73.0,67.0,61.0,44.0,62.0,20.0,73.0,75.0,27.0,68.0,56.0,54.0,ST ,Forward
M. Schulz,22,Germany,65.0,54.0,67.0,61.0,60.0,58.0,54.0,51.0,50.0,58.0,42.0,41.0,13.0,11.0,13.0,13.0,13.0,55.0,65.0,55.0,60.0,35.0,62.0,54.0,41.0,59.0,66.0,62.0,65.0,64.0,59.0,68.0,73.0,51.0,41.0,CDM CB ,Back
P. Jaroszy?ski,22,Poland,65.0,72.0,70.0,52.0,62.0,55.0,58.0,57.0,60.0,54.0,39.0,42.0,8.0,15.0,10.0,9.0,13.0,60.0,60.0,71.0,60.0,46.0,64.0,47.0,34.0,64.0,58.0,49.0,65.0,74.0,71.0,68.0,70.0,39.0,57.0,LB ,Back
A. Baluta,23,Romania,65.0,80.0,77.0,78.0,84.0,59.0,65.0,66.0,38.0,56.0,59.0,31.0,6.0,10.0,10.0,6.0,8.0,65.0,43.0,63.0,58.0,38.0,39.0,41.0,67.0,62.0,65.0,46.0,45.0,74.0,69.0,40.0,62.0,63.0,33.0,RM ,Midfielder
V. Jugovi?,27,Croatia,65.0,75.0,64.0,72.0,70.0,69.0,58.0,55.0,44.0,66.0,64.0,55.0,9.0,10.0,10.0,14.0,13.0,55.0,60.0,84.0,60.0,58.0,59.0,63.0,68.0,63.0,65.0,60.0,58.0,71.0,71.0,60.0,64.0,64.0,46.0,CAM CM ,Midfielder
Lucas Possignolo,23,Brazil,65.0,55.0,51.0,47.0,56.0,55.0,58.0,29.0,28.0,35.0,22.0,25.0,12.0,14.0,8.0,14.0,5.0,46.0,65.0,89.0,45.0,20.0,65.0,35.0,20.0,56.0,59.0,36.0,71.0,61.0,68.0,73.0,70.0,31.0,31.0,CB ,Back
B. Tiru,23,Romania,65.0,62.0,67.0,64.0,51.0,36.0,66.0,29.0,26.0,24.0,16.0,27.0,14.0,9.0,6.0,13.0,8.0,65.0,68.0,65.0,44.0,17.0,60.0,32.0,25.0,65.0,45.0,39.0,58.0,66.0,70.0,65.0,81.0,32.0,20.0,CB ,Back
Carles Pérez,19,Spain,65.0,81.0,38.0,72.0,73.0,65.0,57.0,63.0,60.0,67.0,68.0,54.0,11.0,5.0,13.0,7.0,12.0,53.0,23.0,59.0,58.0,69.0,21.0,57.0,58.0,47.0,62.0,82.0,34.0,79.0,55.0,37.0,57.0,61.0,58.0,LW RW ,Forward
L. Leahy,24,England,65.0,76.0,63.0,77.0,76.0,60.0,60.0,62.0,60.0,58.0,54.0,33.0,13.0,11.0,13.0,7.0,12.0,62.0,59.0,76.0,60.0,64.0,58.0,37.0,59.0,57.0,65.0,69.0,62.0,81.0,80.0,60.0,56.0,58.0,66.0,LM LB LWB ,Back
